,id,bedrooms,numberOfImages,numberOfFloorplans,numberOfVirtualTours,summary,displayAddress,propertySubType,premiumListing,featuredProperty,price,transactionType,commercial,development,residential,students,auction,feesApply,displaySize,channel,firstVisibleDate,onlineViewingsAvailable,heading,formattedBranchName,addedOrReduced,isRecent,hasBrandPlus,propertyTypeFullDescription,latitude,longitude,displayPrice,listingUpdateReason,listingUpdateDate,branchName,branchLocation,region_id
11,86837779,1,7,1,1,"One bedroom ground floor apartment situated in the age restricted Lowry Court development in Mottram. 5 Lowry Court, Mottram in Longendale TO BE SOLD BY ONLINE AUCTION 24TH NOVEMBER 2020 Before bidding, it is essential that you read our Online Auction Buying Guide. This is on our website www....","Lowry Court, Mottram In Longendale, Hyde",Flat,False,False,50000,buy,False,False,True,False,True,False,,BUY,,False,," by Edward Mellor Ltd, Auction",Added on 17/11/2020,False,True,1 bedroom flat for sale,53.458823,-2.013727,50000.0,new,,Edward Mellor Ltd,Auction,E05000814
12,74183112,1,6,1,0,"For Sale By Online Auction. Starting bid £50,000. Terms and conditions apply. We welcome to the market this one bedroom apartment on the top floor. The property is for sale with a tenant in situ exclusively with Simply Residential. The property has an open plan living room and modern k...","Duke Street, Leigh, Greater Manchester, WN7 2DP",Flat,False,False,50000,buy,False,False,True,False,True,False,,BUY,,False,," by Pattinson Estate Agents, Auction",Added on 13/10/2020,False,True,1 bedroom flat for sale,53.49394,-2.50654,50000.0,new,,Pattinson Estate Agents,Auction,E05000853
13,79930909,1,6,0,0,"A well presented one bedroom ground floor Apartment situated across from Rochdale Football Ground. The property comprises of a hallway, an open plan lounge and fitted kitchen, a double bedroom and a three piece bathroom suite with a shower over the bath. The apartment benefits from electric heati...","159 Sandy Lane, Rochdale, Lancashire",Flat,False,False,50000,buy,False,False,True,False,False,False,,BUY,,False,," by Express Estate Agency, Nationwide",Added on 21/05/2020,False,True,1 bedroom flat for sale,53.6199,-2.181314,50000.0,new,,Express Estate Agency,Nationwide,E05000755
14,84490501,1,6,0,1,"FOR SALE BY LIVE STREAM AUCTION ON TUESDAY 8TH DECEMBER 2020 AT 2PM *GUIDE PRICE £50,000 - £60,000. A First Floor One Bedroomed Furnished Apartment Producing a Gross Income of £5,940pa/£495pcm. Conveniently positioned within walking distance of Wardle village amenities, lo...","Shaw Lodge, Lodge Street, Rochdale, Greater Manchester, OL12",Apartment,False,False,50000,buy,False,False,True,False,True,False,,BUY,,False,," by Auction House, Manchester",Added on 05/09/2020,False,True,1 bedroom apartment for sale,53.647922,-2.132383,50000.0,new,,Auction House,Manchester,E05000756
15,96390476,1,11,0,1,A first floor one bedroom apartment. Located in the highly regarded development of Sharples Hall only available for applicants who are over 55 years of age. The property is ideally placed for all local amenities and bus routes. The apartment is in need of modernisation throughout. Briefly compris...,"Flat 46 Sharples, Sharples Hall Drive, Bolton, BL1",Apartment,False,False,50000,buy,False,False,True,False,False,False,,BUY,,False,," by William Thomas Estate Agency, Bolton - Sales",Reduced on 04/09/2020,False,True,1 bedroom apartment for sale,53.6101,-2.42768,50000.0,price_reduced,,William Thomas Estate Agency,Bolton - Sales,E05000650
16,86959525,2,1,0,1,"FOR SALE BY LIVE STREAM AUCTION ON TUESDAY 8TH DECEMBER 2020 *GUIDE PRICE £50,000 - £60,000. A Tenanted Two Bedroomed Mid Terraced House Producing £5,200pa/£433pcm. Situated in the ever popular Greenacres area this Two Bedroomed Mid Terraced House benefits from a long term...","Ryeburne Street, Oldham, Greater Manchester, OL4",Terraced,False,False,50000,buy,False,False,True,False,True,False,,BUY,,False,," by Auction House, Manchester",Added on 20/11/2020,False,True,2 bedroom terraced house for sale,53.545828,-2.086467,50000.0,new,,Auction House,Manchester,E05000737
17,96550748,1,13,1,0,"***DESIRABLE LOCATION, OVER 55'S, APARTMENT IN NEED OF MODERNISATION** This one bedroom apartment is being welcomed to the market in the highly regarded development of Sharples Hall Park. The property is in need of modernisation but has lots of potential, suitable for over 55's only. The apa...","Sharples Hall, Sharples Hall Drive, Bolton, Greater Manchester, BL1",Apartment,False,False,50000,buy,False,False,True,False,False,False,,BUY,,False,," by Miller Metcalfe, Bolton",Reduced on 04/09/2020,False,True,1 bedroom apartment for sale,53.610531,-2.426858,50000.0,price_reduced,,Miller Metcalfe,Bolton,E05000650
18,95823875,1,9,2,0,"Stylish student investment property with 6% yields. Invest in a desirable Manchester location from just £49,995. CHA13","Completed Buy to Let City Flat, Chapel Street, Manchester, M3 5JZ",Apartment,False,False,49995,buy,False,False,True,False,False,False,,BUY,,False,," by RW Invest, London",Added on 12/08/2020,False,True,1 bedroom apartment for sale,53.48338,-2.26277,49995.0,new,,RW Invest,London,E05000766
19,84925372,1,1,0,0,"Excellent Investment Opportunity A one bedroomed ground floor apartment within close proximity of the M60 motorway and with excellent public transport links. The apartment benefits from double glazed windows and comprises an entrance hallway, spacious lounge, kitchen, double bedroom & bathroom.G...","53 Baguley Crescent, Middleton M24 4QT",Flat,False,False,49950,buy,False,False,True,False,False,False,,BUY,,False,," by Barton Kendal Residential, Middleton ",Added on 18/09/2020,False,True,1 bedroom flat for sale,53.541332,-2.237747,49950.0,new,,Barton Kendal Residential,Middleton ,E05000674
20,99207833,2,7,1,1,"NO CHAIN - Centrally located in the heart of Oldham town centre, this two bedroom apartment is within walking distance of the Oldham mumps tram/Bus station giving excellent public transport links to Rochdale and Manchester.","Union Street, Oldham, Greater Manchester, OL1",Flat,False,False,48000,buy,False,False,True,False,True,False,,BUY,,True,," by National Residential, Chester",Added on 30/10/2020,False,True,2 bedroom flat for sale,53.54169,-2.1062,48000.0,new,,National Residential,Chester,E05000735
